year,month,day,EUR/USD
1995,3,15,1.3127
1995,3,14,1.2943
1995,3,13,1.298
1995,3,10,1.2917
1995,3,9,1.3127
1995,3,8,1.3133
1995,3,7,1.3228
1995,3,6,1.3127
1995,3,3,1.3005
1995,3,2,1.2902
1995,3,1,1.2735
1995,2,28,1.2713
1995,2,27,1.2691
1995,2,24,1.2739
1995,2,23,1.2748
1995,2,22,1.2724
1995,2,21,1.2742
1995,2,20,1.2745
1995,2,17,1.2677
1995,2,16,1.2619
1995,2,15,1.2483
1995,2,14,1.2497
1995,2,13,1.24
1995,2,10,1.2417
1995,2,9,1.2348
1995,2,8,1.2327
1995,2,7,1.2297
1995,2,6,1.2328
1995,2,3,1.2345
1995,2,2,1.2432
1995,2,1,1.2435
1995,1,31,1.2394
1995,1,30,1.2538
1995,1,27,1.2461
1995,1,26,1.2455
1995,1,25,1.247
1995,1,24,1.251
1995,1,23,1.2492
1995,1,20,1.2501
1995,1,19,1.2472
1995,1,18,1.2339
1995,1,17,1.2343
1995,1,16,1.2372
1995,1,13,1.2346
1995,1,12,1.238
1995,1,11,1.2327
1995,1,10,1.2348
1995,1,9,1.2345
1995,1,6,1.217
1995,1,5,1.2268
1995,1,4,1.2211
1995,1,3,1.2226
1995,1,2,1.219
1994,12,30,1.2269
1994,12,29,1.2236
1994,12,28,1.2113
1994,12,27,1.2067
1994,12,26,1.2045
1994,12,23,1.2045
1994,12,22,1.2087
1994,12,21,1.2064
1994,12,20,1.2133
1994,12,19,1.2114
1994,12,16,1.2122
1994,12,15,1.2137
1994,12,14,1.2142
1994,12,13,1.2123
1994,12,12,1.212
1994,12,9,1.2109
1994,12,8,1.211
1994,12,7,1.2167
1994,12,6,1.2134
1994,12,5,1.2127
1994,12,2,1.2082
1994,12,1,1.2135
1994,11,30,1.2154
1994,11,29,1.2144
1994,11,28,1.2163
1994,11,25,1.2218
1994,11,24,1.2219
1994,11,23,1.2264
1994,11,22,1.2249
1994,11,21,1.2238
1994,11,18,1.225
1994,11,17,1.2288
1994,11,16,1.2281
1994,11,15,1.2305
1994,11,14,1.2328
1994,11,11,1.2437
1994,11,10,1.244
1994,11,9,1.2452
1994,11,8,1.2594
1994,11,7,1.2547
1994,11,4,1.2563
1994,11,3,1.2543
1994,11,2,1.2572
1994,11,1,1.273
1994,10,31,1.2679
1994,10,28,1.2612
1994,10,27,1.2735
1994,10,26,1.2777
1994,10,25,1.2717
1994,10,24,1.274
1994,10,21,1.2687
1994,10,20,1.275
1994,10,19,1.2688
1994,10,18,1.2687
1994,10,17,1.2692
1994,10,14,1.2534
1994,10,13,1.2477
1994,10,12,1.239
1994,10,11,1.2356
1994,10,10,1.2425
1994,10,7,1.2358
1994,10,6,1.238
1994,10,5,1.2372
1994,10,4,1.2366
1994,10,3,1.2313
1994,9,30,1.2324
1994,9,29,1.2344
1994,9,28,1.2309
1994,9,27,1.2386
1994,9,26,1.2292
1994,9,23,1.2331
1994,9,22,1.2336
1994,9,21,1.2336
1994,9,20,1.231
1994,9,19,1.2315
1994,9,16,1.2395
1994,9,15,1.2302
1994,9,14,1.2364
1994,9,13,1.2332
1994,9,12,1.2348
1994,9,9,1.2383
1994,9,8,1.2243
1994,9,7,1.2276
1994,9,6,1.233
1994,9,5,1.2278
1994,9,2,1.227
1994,9,1,1.213
1994,8,31,1.2069
1994,8,30,1.2099
1994,8,29,1.2097
1994,8,26,1.2096
1994,8,25,1.2345
1994,8,24,1.232
1994,8,23,1.2409
1994,8,22,1.2437
1994,8,19,1.234
1994,8,18,1.2295
1994,8,17,1.2248
1994,8,16,1.2208
1994,8,15,1.224
1994,8,12,1.2227
1994,8,11,1.2216
1994,8,10,1.2058
1994,8,9,1.2083
1994,8,8,1.2079
1994,8,5,1.2093
1994,8,4,1.2032
1994,8,3,1.204
1994,8,2,1.2092
1994,8,1,1.2102
1994,7,29,1.2086
1994,7,28,1.2
1994,7,27,1.2135
1994,7,26,1.2075
1994,7,25,1.2039
1994,7,22,1.199
1994,7,21,1.2022
1994,7,20,1.221
1994,7,19,1.217
1994,7,18,1.2322
1994,7,15,1.2286
1994,7,14,1.23
1994,7,13,1.2403
1994,7,12,1.2485
