,year,month,day,XAU_Price
1096,2020,2,4,24960.84
1095,2020,2,5,24535.29
1094,2020,2,6,24554.48
1093,2020,2,7,24691.13
1092,2020,2,10,24716.39
1091,2020,2,11,24727.27
1090,2020,2,12,24646.7
1089,2020,2,13,24632.33
1088,2020,2,14,24742.44
1087,2020,2,17,24776.79
1086,2020,2,18,24765.1
1085,2020,2,19,24990.71
1084,2020,2,20,25139.8
1083,2020,2,21,25218.75
1082,2020,2,24,25814.76
1081,2020,2,25,25817.11
1080,2020,2,26,25475.8
1079,2020,2,27,25596.89
1078,2020,2,28,25713.71
1077,2020,3,2,24868.91
1076,2020,3,3,24861.9
1075,2020,3,4,25676.11
1074,2020,3,5,25616.33
1073,2020,3,6,26153.14
1072,2020,3,9,26551.26
1071,2020,3,10,26378.92
1070,2020,3,11,25929.0
1069,2020,3,12,25669.54
1068,2020,3,13,24762.89
1067,2020,3,16,24588.93
1066,2020,3,17,23851.05
1065,2020,3,18,24077.74
1064,2020,3,19,23409.28
1063,2020,3,20,23168.31
1062,2020,3,23,23753.39
1061,2020,3,24,24473.55
1060,2020,3,25,25638.1
1059,2020,3,26,25473.18
1058,2020,3,27,25687.07
1057,2020,3,30,25546.8
1056,2020,3,31,25596.54
1055,2020,4,1,24829.39
1054,2020,4,2,25063.6
1053,2020,4,3,25415.6
1052,2020,4,6,25160.72
1051,2020,4,7,26172.63
1050,2020,4,8,26015.99
1049,2020,4,9,25915.63
1048,2020,4,10,26575.07
1047,2020,4,13,26549.88
1046,2020,4,14,26978.43
1045,2020,4,15,27272.11
1044,2020,4,16,27099.3
1043,2020,4,17,27051.55
1042,2020,4,20,26653.04
1041,2020,4,21,26712.29
1040,2020,4,22,26560.91
1039,2020,4,23,27013.83
1038,2020,4,24,27348.27
1037,2020,4,27,27186.91
1036,2020,4,28,27002.45
1035,2020,4,29,26903.35
1034,2020,4,30,26978.91
1033,2020,5,1,26572.28
1032,2020,5,4,26759.35
1031,2020,5,5,26843.63
1030,2020,5,6,26850.53
1029,2020,5,7,26547.71
1028,2020,5,8,27030.24
1027,2020,5,11,26816.67
1026,2020,5,12,26727.72
1025,2020,5,13,26818.43
1024,2020,5,14,27035.16
1023,2020,5,15,27236.43
1022,2020,5,18,26819.12
1021,2020,5,19,27355.19
1020,2020,5,20,27549.27
1019,2020,5,21,27654.29
1018,2020,5,22,27388.88
1017,2020,5,25,27510.93
1016,2020,5,26,27419.18
1015,2020,5,27,27132.91
1014,2020,5,28,27076.77
1013,2020,5,29,27220.04
1012,2020,6,1,27650.06
1011,2020,6,2,27714.15
1010,2020,6,3,27653.54
1009,2020,6,4,27313.3
1008,2020,6,5,27843.5
1007,2020,6,8,27325.01
1006,2020,6,9,27517.18
1005,2020,6,10,27761.13
1004,2020,6,11,28151.29
1003,2020,6,12,27948.79
1002,2020,6,15,28076.58
1001,2020,6,16,27929.65
1000,2020,6,17,27942.18
999,2020,6,18,27939.0
998,2020,6,19,27877.14
997,2020,6,22,28321.43
996,2020,6,23,28402.98
995,2020,6,24,28602.53
994,2020,6,25,28508.79
993,2020,6,26,28498.1
992,2020,6,29,28734.7
991,2020,6,30,28642.12
990,2020,7,1,28767.23
989,2020,7,2,28548.61
988,2020,7,3,28625.36
987,2020,7,6,28600.76
986,2020,7,7,28659.16
985,2020,7,8,28776.86
984,2020,7,9,28979.96
983,2020,7,10,28837.9
982,2020,7,13,28075.78
981,2020,7,14,28789.54
980,2020,7,15,28859.72
979,2020,7,16,28911.23
978,2020,7,17,28676.99
977,2020,7,20,28930.69
976,2020,7,21,29030.38
975,2020,7,22,29429.84
974,2020,7,23,29934.14
973,2020,7,24,30180.91
972,2020,7,27,30361.98
971,2020,7,28,31056.2
970,2020,7,29,31304.28
969,2020,7,30,31469.47
968,2020,7,31,31243.81
967,2020,8,3,31636.29
966,2020,8,4,31573.47
965,2020,8,5,32289.19
964,2020,8,6,32597.27
963,2020,8,7,32947.65
962,2020,8,10,32562.39
961,2020,8,11,32410.96
960,2020,8,12,30552.1
959,2020,8,13,30613.99
