Date,Price,Open,High,Low
07/12/1996,1.2435,1.2455,1.2477,1.2430
07/11/1996,1.2452,1.2400,1.2470,1.2398
07/10/1996,1.2412,1.2414,1.2434,1.2401
07/09/1996,1.2411,1.2403,1.2442,1.2403
07/08/1996,1.2412,1.2420,1.2431,1.2384
07/05/1996,1.2428,1.2445,1.2450,1.2388
07/04/1996,1.2441,1.2466,1.2487,1.2441
07/03/1996,1.2471,1.2431,1.2476,1.2385
07/02/1996,1.2420,1.2439,1.2453,1.2404
07/01/1996,1.2437,1.2433,1.2462,1.2418
06/28/1996,1.2432,1.2465,1.2480,1.2432
06/27/1996,1.2468,1.2408,1.2468,1.2387
06/26/1996,1.2405,1.2402,1.2420,1.2345
06/25/1996,1.2391,1.2380,1.2400,1.2330
06/24/1996,1.2385,1.2383,1.2392,1.2347
06/21/1996,1.2363,1.2393,1.2431,1.2350
06/20/1996,1.2419,1.2430,1.2458,1.2410
06/19/1996,1.2445,1.2483,1.2489,1.2415
06/18/1996,1.2487,1.2422,1.2503,1.2422
06/17/1996,1.2425,1.2413,1.2466,1.2409
06/14/1996,1.2368,1.2378,1.2467,1.2368
06/13/1996,1.2370,1.2347,1.2377,1.2311
06/12/1996,1.2350,1.2312,1.2350,1.2299
06/11/1996,1.2317,1.2311,1.2338,1.2294
06/10/1996,1.2313,1.2306,1.2330,1.2295
06/07/1996,1.2308,1.2360,1.2390,1.2300
06/06/1996,1.2368,1.2364,1.2400,1.2337
06/05/1996,1.2358,1.2368,1.2390,1.2343
06/04/1996,1.2355,1.2406,1.2408,1.2330
06/03/1996,1.2405,1.2391,1.2420,1.2355
05/31/1996,1.2392,1.2300,1.2405,1.2284
05/30/1996,1.2292,1.2323,1.2378,1.2285
05/29/1996,1.2313,1.2233,1.2313,1.2217
05/28/1996,1.2231,1.2255,1.2255,1.2210
05/27/1996,1.2260,1.2245,1.2260,1.2245
05/24/1996,1.2248,1.2267,1.2280,1.2240
05/23/1996,1.2252,1.2221,1.2280,1.2207
05/22/1996,1.2218,1.2219,1.2260,1.2190
05/21/1996,1.2230,1.2269,1.2283,1.2204
05/20/1996,1.2270,1.2283,1.2291,1.2238
05/17/1996,1.2282,1.2297,1.2340,1.2255
05/16/1996,1.2282,1.2255,1.2286,1.2227
05/15/1996,1.2256,1.2281,1.2299,1.2243
05/14/1996,1.2266,1.2275,1.2288,1.2243
05/13/1996,1.2270,1.2287,1.2295,1.2241
05/10/1996,1.2281,1.2334,1.2383,1.2280
05/09/1996,1.2335,1.2380,1.2382,1.2330
05/08/1996,1.2365,1.2294,1.2393,1.2278
05/07/1996,1.2304,1.2325,1.2346,1.2304
05/06/1996,1.2300,1.2325,1.2338,1.2295
05/03/1996,1.2317,1.2282,1.2329,1.2257
05/02/1996,1.2278,1.2232,1.2297,1.2215
05/01/1996,1.2223,1.2266,1.2278,1.2222
04/30/1996,1.2269,1.2303,1.2353,1.2240
04/29/1996,1.2316,1.2315,1.2404,1.2310
04/26/1996,1.2307,1.2278,1.2341,1.2245
04/25/1996,1.2260,1.2362,1.2363,1.2260
04/24/1996,1.2375,1.2365,1.2385,1.2343
04/23/1996,1.2359,1.2390,1.2398,1.2345
04/22/1996,1.2374,1.2348,1.2402,1.2340
04/19/1996,1.2382,1.2460,1.2490,1.2375
04/18/1996,1.2446,1.2440,1.2500,1.2359
04/17/1996,1.2420,1.2395,1.2433,1.2380
04/16/1996,1.2385,1.2415,1.2420,1.2370
04/15/1996,1.2383,1.2401,1.2418,1.2349
04/12/1996,1.2439,1.2430,1.2464,1.2415
04/11/1996,1.2438,1.2460,1.2483,1.2425
04/10/1996,1.2471,1.2475,1.2485,1.2413
04/09/1996,1.2470,1.2554,1.2579,1.2450
04/08/1996,1.2551,1.2530,1.2613,1.2530
04/05/1996,1.2532,1.2572,1.2587,1.2523
04/04/1996,1.2576,1.2548,1.2599,1.2548
04/03/1996,1.2547,1.2568,1.2601,1.2545
04/02/1996,1.2571,1.2505,1.2573,1.2505
04/01/1996,1.2510,1.2545,1.2553,1.2503
03/29/1996,1.2557,1.2582,1.2628,1.2542
03/28/1996,1.2597,1.2492,1.2599,1.2481
03/27/1996,1.2509,1.2546,1.2554,1.2479
03/26/1996,1.2555,1.2548,1.2595,1.2537
03/25/1996,1.2557,1.2560,1.2594,1.2540
03/22/1996,1.2537,1.2525,1.2559,1.2501
03/21/1996,1.2526,1.2565,1.2580,1.2522
